0x401005,0x41feb8
0x401010,0x41febc
0x401015,0x41feb8
0x40101b,0x41ff18
0x401025,0x41feb0
0x401021,0x41feb4
0x40102a,0x41feb0
0x401031,0x41e6c4
0x40104a,0x41feb0
0x401060,0x41fec4
0x40106e,0x41feb0
0x4010af,0x41b030
0x4011df,0x41feb4
0x4011e5,0x41feb0
0x4011f3,0x41feb4
0x4011fd,0x41feb0
0x401424,0x455f68
0x40142b,0x41b6f8
0x40145f,0x41b030
0x4014ce,0x455f68
0x4014ef,0x455f68
0x401518,0x41feb0
0x40151d,0x41feb0
0x401525,0x41feb0
0x401531,0x41feb0
0x40154a,0x455f68
0x401558,0x41feb0
0x401560,0x41feb0
0x401569,0x41feb0
0x4015cd,0x455f68
0x4015db,0x455f68
0x4015ff,0x42a2e8
0x40160b,0x42a2ec
0x401614,0x42a2f0
0x40161d,0x42a2f4
0x40162e,0x42a2e8
0x40163a,0x42a2ec
0x401643,0x42a2f0
0x40164c,0x42a2f4
0x401695,0x42a2e8
0x4016a1,0x42a2ec
0x4016aa,0x42a2f0
0x4016b3,0x42a2f4
0x4016c4,0x42a2e8
0x4016d0,0x42a2ec
0x4016d9,0x42a2f0
0x4016e2,0x42a2f4
0x40171b,0x41feb0
0x40174e,0x41feb0
0x401756,0x41feb0
0x401760,0x41feb0
0x401779,0x455f68
0x401787,0x41feb0
0x40178f,0x41feb0
0x401798,0x41feb0
0x4017e8,0x41e6b0
0x401837,0x41feb0
0x40183c,0x41feb0
0x401844,0x41feb0
0x40184c,0x41feb0
0x40186b,0x41feb0
0x401873,0x41feb0
0x40187c,0x41feb0
0x4018a8,0x41e6b0
0x4018c8,0x41feb0
0x4018d0,0x41feb0
0x4018d8,0x41feb0
0x4018df,0x41feb0
0x401913,0x41feb0
0x401918,0x41feb0
0x40191f,0x41feb0
0x40192a,0x41feb0
0x401944,0x455f68
0x401953,0x41feb0
0x40195b,0x41feb0
0x401963,0x41feb0
0x401981,0x41feb0
0x401989,0x41feb0
0x401994,0x41feb0
0x40199b,0x41feb0
0x4019b1,0x41feb4
0x4019b6,0x41feb0
0x4019c4,0x41feb4
0x4019cc,0x41feb0
0x4019e6,0x42a95f
0x4019eb,0x41fed0
0x401a01,0x41fec0
0x401a19,0x41fec0
